Month,ProductSales
12/23/2018,3998.98
12/24/2018,4078.6
12/25/2018,3815.49
12/26/2018,3857.3
12/27/2018,3654.83
12/28/2018,3923.92
12/29/2018,3820.41
12/30/2018,3865.95
12/31/2018,3742.7
1/1/2019,3843.52
1/2/2019,3943.41
1/3/2019,3836.74
1/4/2019,3857.72
1/5/2019,3845.19
1/6/2019,4076.63
1/7/2019,4025.25
1/8/2019,4030.85
1/9/2019,4035.3
1/10/2019,3678.92
1/11/2019,3687.37
1/12/2019,3661.3
1/13/2019,3552.95
1/14/2019,3706.05
1/15/2019,3630.68
1/16/2019,3655.01
1/17/2019,3678.56
1/18/2019,3657.84
1/19/2019,3728.57
1/20/2019,3601.01
1/21/2019,3576.03
1/22/2019,3604.58
1/23/2019,3585.12
1/24/2019,3600.87
1/25/2019,3599.77
1/26/2019,3602.46
1/27/2019,3605.2
1/28/2019,3470.45
1/29/2019,3448.12
1/30/2019,3486.18
1/31/2019,3457.79
2/1/2019,3487.95
2/2/2019,3521.06
2/3/2019,3464.01
2/4/2019,3459.15
2/5/2019,3466.36
2/6/2019,3413.77
2/7/2019,3399.47
2/8/2019,3666.78
2/9/2019,3671.2
2/10/2019,3690.19
2/11/2019,3659.45
2/12/2019,3653.53
2/13/2019,3632.07
2/14/2019,3616.88
2/15/2019,3620.81
2/16/2019,3629.79
2/17/2019,3673.84
2/18/2019,3915.71
2/19/2019,3947.09
2/20/2019,3999.82
2/21/2019,3954.12
2/22/2019,4005.53
2/23/2019,4142.53
2/24/2019,3810.43
2/25/2019,3882.7
2/26/2019,3854.36
2/27/2019,3851.05
2/28/2019,3854.79
3/1/2019,3859.58
3/2/2019,3864.42
3/3/2019,3847.18
3/4/2019,3761.56
3/5/2019,3896.38
3/6/2019,3903.94
3/7/2019,3911.48
3/8/2019,3901.13
3/9/2019,3963.31
3/10/2019,3951.6
3/11/2019,3905.23
3/12/2019,3909.16
3/13/2019,3906.72
3/14/2019,3924.37
3/15/2019,3960.91
3/16/2019,4048.73
3/17/2019,4025.23
3/18/2019,4032.51
3/19/2019,4071.19
3/20/2019,4087.48
3/21/2019,4029.33
3/22/2019,4023.97
3/23/2019,4035.83
3/24/2019,4022.17
3/25/2019,3963.07
3/26/2019,3985.08
3/27/2019,4087.07
3/28/2019,4069.11
3/29/2019,4098.37
3/30/2019,4106.66
3/31/2019,4105.4
4/1/2019,4158.18
4/2/2019,4879.88
4/3/2019,4973.02
4/4/2019,4922.8
4/5/2019,5036.68
4/6/2019,5059.82
4/7/2019,5198.9
4/8/2019,5289.77
4/9/2019,5204.96
4/10/2019,5324.55
4/11/2019,5064.49
4/12/2019,5089.54
4/13/2019,5096.59
